Company Name,Company Business,Market Value,Annual Revenue,Operating Income,Net Income,Assets,Liabilities
APPLE,Technology,2256000000000,274510000000,66280000000,57410000000,2020000000,245062000000
MICROSOFT CORPORATION,Technology,1682000000000,143000000000,52950000000,44300000000,301311000000,183007000000
ALPHABET,Technology,1185000000000,182520000000,41220000000,40260000000,299243000000,86320000000
AMAZON.COM,eCommerce,1634000000000,386060000000,22890000000,21330000000,110908000000,184586000000
FACEBOOK,Communication Services,778040000000,85960000000,32670000000,29150000000,139691000000,29244000000
BERKSHIRE HATHAWAY,Financial Services,543679999999,327220000000,0,81410000000,829946000000,410730000000
J P MORGAN CHASE & CO,Financial Services,387330000000,122900000000,0,29100000000,3386000000000,3106000000000
VISA,Financial Services,482170000000,21840000000,14090000000,10860000000,77884000000,42360000000
JOHNSON & JOHNSON,Healthcare,414310000000,82580000000,19730000000,14710000000,158380000000,95402000000
WALMART,Retail,407840000000,523960000000,22540000000,14880000000,237382000000,162072000000
BANK OF AMERICA CORPORATION,Financial Services,262200000000,85530000000,0,16469999999,2741000000,2476000000
PROCTER & GAMBLE COMPANY,Consumer Defensive,345010000000,70950000000,15700000000,13030000000,120700000000,74179000000
MASTERCARD,Digital Payment Solution Services,355840000000,15300000000,8160000000,6410000000,32127000000,25607000000
EXXON MOBIL CORPORATION,Energy,174290000000,181500000000,-28880000000,-22440000000,361495000000,181312000000
AT&T,Telecom,204940000000,171760000000,25280000000,-5370000000,547898000000,372002000000
UNITEDHEALTH GROUP,Healthcare,332730000000,255630000000,20900000000,15400000000,192483000000,127017000000
THE WALT DISNEY COMPANY,Communication Services,328020000000,2020000000,3794000000,2020000000,201549000000,113286000000
INTEL CORPORATION,Technology,204160000000,77860000000,23870000000,20890000000,152539000000,70529000000
VERIZON COMMUNICATIONS,Communication Services,243110000000,128289999999,28790000000,17800000000,293259000000,229146000000
HOME DEPOT,Retail,285970000000,110220000000,15840000000,11240000000,2020000000,2020000000
COCA-COLA COMPANY,Consumer Defensive,235670000000,33009999999,9850000000,7750000000,94689000000,77205000000
MERCK & COMPANY,Healthcare,206960000000,47990000000,8480000000,7070000000,89800000000,56815000000
